"排序","移动设备市场","使用量占比",
"1","iPhone 4S","21.72%",
"2","iPhone 5","17.88%",
"3","iPhone 5s","13.27%",
"4","iPhone 4","12.39%",
"5","iPad mini(WIFI)","6.13%",
"6","iPad 4(WIFI)","5.7%",
"7","iPad 2(WIFI)","4.47%",
"8","iPad Air(WIFI)","4.07%",
"9","iPhone 4(GSM)","3.45%",
"10","iPad 3(WIFI)","2.19%",
"11","iPad mini 2G(WIFI)","2.01%",
"12","iPhone 5c","1.58%",
"13","iPad 2(GSM)","1.17%",
"14","iPad 3(Global)","0.62%",
"15","iPad","0.58%",
"16","iPad mini(Global)","0.55%",
"17","iPad 4(Global)","0.54%",
"18","iPod Touch 4","0.45%",
"19","iPod Touch 5","0.44%",
"20","iPhone 3GS","0.29%",
"21","iPad Air(Cellular)","0.23%",
"22","iPad mini 2G(Cellular)","0.2%",
"23","iPad mini(GSM)","0.02%",
"24","iPod Touch 3","0.01%",
"25","iPad 4(GSM)","0.01%",
"26","iPad 3(CDMA)","0.01%",
"27","iPad 2(CDMA)","0.01%",
"28","iPhone 3G","0%",
"29","iPod Touch 2","0%",
"30","iPod Touch","0%",
"31","iPhone","0%",

"iPhone 4S移动设备2014.02.01~2014.04.30使用量占比"
时间,使用量占比
="2014.04.24","11.81%",
="2014.04.25","11.71%",
="2014.04.26","11.36%",
="2014.04.27","11.34%",
="2014.04.28","11.67%",
="2014.04.29","11.62%",
="2014.04.30","11.61%",

"iPad mini(WIFI)移动设备2014.02.01~2014.04.30使用量占比"
时间,使用量占比
="2014.02.01","5.99%",
="2014.02.02","6.00%",
="2014.02.03","6.07%",
="2014.02.04","6.07%",
="2014.02.05","6.10%",
="2014.02.06","6.33%",
="2014.02.07","6.24%",
="2014.02.08","6.18%",
="2014.02.09","6.42%",
="2014.02.10","6.08%",
="2014.02.11","6.00%",
="2014.02.12","5.98%",
="2014.02.13","6.09%",
="2014.02.14","5.91%",
="2014.02.15","6.29%",
="2014.02.16","6.39%",
="2014.02.17","6.01%",
="2014.02.18","5.97%",
="2014.02.19","5.92%",
="2014.02.20","5.96%",
="2014.02.21","6.04%",
="2014.02.22","6.44%",
="2014.02.23","6.51%",
="2014.02.24","6.02%",
="2014.02.25","6.04%",
="2014.02.26","6.05%",
="2014.02.27","6.02%",
="2014.02.28","6.07%",
="2014.03.01","6.40%",
="2014.03.02","6.48%",
="2014.03.03","5.87%",
="2014.03.04","5.85%",
="2014.03.05","5.79%",
="2014.03.06","5.89%",
="2014.03.07","5.89%",
="2014.03.08","6.31%",
="2014.03.09","6.35%",
="2014.03.10","5.88%",
="2014.03.11","5.85%",
="2014.03.12","5.96%",
="2014.03.13","5.84%",
="2014.03.14","5.85%",
="2014.03.15","6.19%",
="2014.03.16","6.24%",
="2014.03.17","5.86%",
="2014.03.18","5.85%",
="2014.03.19","5.89%",
="2014.03.20","5.88%",
="2014.03.21","6.03%",
="2014.03.22","6.41%",
="2014.03.23","6.49%",
="2014.03.24","5.99%",
="2014.03.25","6.02%",
="2014.03.26","5.96%",
="2014.03.27","5.96%",
="2014.03.28","6.05%",
="2014.03.29","6.51%",
="2014.03.30","6.52%",
="2014.03.31","5.97%",
="2014.04.01","5.84%",
="2014.04.02","5.91%",
="2014.04.03","5.90%",
="2014.04.04","6.10%",
="2014.04.05","6.33%",
="2014.04.06","6.39%",
="2014.04.07","6.44%",
="2014.04.08","6.01%",
="2014.04.09","5.96%",
="2014.04.10","6.05%",
="2014.04.11","6.15%",
="2014.04.12","6.52%",
="2014.04.13","6.58%",
="2014.04.14","5.96%",
="2014.04.15","6.00%",
="2014.04.16","5.93%",
="2014.04.17","5.99%",
="2014.04.18","6.18%",
="2014.04.19","6.52%",
="2014.04.20","6.56%",
="2014.04.21","6.01%",
="2014.04.22","6.05%",
="2014.04.23","6.10%",
="2014.04.24","6.10%",
="2014.04.25","6.24%",
="2014.04.26","6.64%",
="2014.04.27","6.61%",
="2014.04.28","6.05%",
="2014.04.29","6.05%",
="2014.04.30","6.18%",

"iPad 4(WIFI)移动设备2014.02.01~2014.04.30使用量占比"
时间,使用量占比
="2014.02.01","5.89%",
="2014.02.02","5.93%",
="2014.02.03","6.00%",
="2014.02.04","6.00%",
="2014.02.05","6.02%",
="2014.02.06","6.19%",
="2014.02.07","6.12%",
="2014.02.08","6.06%",
="2014.02.09","6.25%",
="2014.02.10","5.98%",
="2014.02.11","5.90%",
="2014.02.12","5.87%",
="2014.02.13","5.91%",
="2014.02.14","5.68%",
="2014.02.15","6.03%",
="2014.02.16","6.11%",
="2014.02.17","5.80%",
="2014.02.18","5.77%",
="2014.02.19","5.70%",
="2014.02.20","5.66%",
="2014.02.21","5.72%",
="2014.02.22","6.07%",
="2014.02.23","6.14%",
="2014.02.24","5.73%",
="2014.02.25","5.75%",
="2014.02.26","5.72%",
="2014.02.27","5.63%",
="2014.02.28","5.65%",
="2014.03.01","5.98%",
="2014.03.02","6.04%",
="2014.03.03","5.52%",
="2014.03.04","5.51%",
="2014.03.05","5.46%",
="2014.03.06","5.56%",
="2014.03.07","5.57%",
="2014.03.08","5.89%",
="2014.03.09","5.91%",
="2014.03.10","5.53%",
="2014.03.11","5.49%",
="2014.03.12","5.62%",
="2014.03.13","5.49%",
="2014.03.14","5.49%",
="2014.03.15","5.75%",
="2014.03.16","5.78%",
="2014.03.17","5.48%",
="2014.03.18","5.47%",
="2014.03.19","5.50%",
="2014.03.20","5.49%",
="2014.03.21","5.61%",
="2014.03.22","5.91%",
="2014.03.23","5.95%",
="2014.03.24","5.55%",
="2014.03.25","5.55%",
="2014.03.26","5.49%",
="2014.03.27","5.49%",
="2014.03.28","5.59%",
="2014.03.29","5.95%",
="2014.03.30","5.95%",
="2014.03.31","5.48%",
="2014.04.01","5.36%",
="2014.04.02","5.41%",
